[00:00] 好我们继续讲生成式软件工程
[89:29] 比如说余额不足到底应该怎么样处理
[89:35] 在你如果写第一个MVP的时候
[89:37] 你一定不会管这些事
[89:38] 你肯定是说直接让他crash或者怎么
[89:40] 你就假设这件事情永远不不会发生
[89:43] 排除在你的specification space之外
[89:45] 但是当你的软件不断的向后演进的时候
[89:48] 那么OK你的这个contract就变得非常重要
[89:54] 所以他希望能够在编程语言里引入这个
[89:58] 所以你看到这么多年软工人做的事情
[90:01] 就是在这个spec上面横跳
[90:04] 从自然语言到几个半自然的语言
[90:08] 可以可以接纳设计的
[90:10] 有一些逻辑公式的语言
[90:12] 它可以没有代码单纯的检验这个逻辑
[90:15] 比如说函
[90:16] 我中间如果要函数调用这个逻辑能不能成立
[90:19] 然后到再到现在的这个啊编程语言
[90:22] 然后今天其实依然是一个非常活跃的方向
[90:24] 而且我觉得软件工程未来会发生很大的变化
[90:27] 因为LLM 来了
[90:30] 自然语言对不齐的问题解决了
[90:32] check list不好检查的问题也解决了
[90:35] 我们只剩下这个gap
[90:38] 只有是我没有想清楚
[90:40] 我没有说清楚
[90:41] 一旦我想清楚说清楚
[90:43] 可能真的就都能解决了
[90:45] 因为我们现在比如说你看像Eiffel
[90:47] 它催生了很多现在的项目
[90:49] 比如Dafny、Verus这些形式化验证的这个工具
[90:54] 你可以就说大家的梦想
[90:58] 大家梦想都是我如果写一个这样的程序
[91:02] 我可以自动的证明
[91:04] 我的函数在前置条件满足的时候
[91:06] 后置条件就会满足
[91:07] 无论我写什么就能证明
[91:09] 然后而且我还要证明整个系统
[91:12] 把所有的前置条件
[91:13] 后置条件连起来
[91:14] 它就能够满足我的intent intent
[91:17] 然后我其实在ChatGPT出来之前
[91:21] 我上上操作系统课的时候
[91:23] 我就预言当时我预言30年
[91:24] 说30年以后
[91:27] 那可能2020年左右的时候
[91:29] 还是2022年左右的时候
[91:32] 你如果你的一个程序
[91:36] 过不了编译
[91:38] 说错了
[91:38] 如果你一个程序里面有个assert
[91:40] 然后这个assert就随便你写的assert也可以写
[91:42] 这种前置条件
[91:43] 后置条件可以写断言
[91:44] 就是说我的函数要满足
[91:47] 这个link list的左边右边就linked list
[91:50] 往左走
[91:51] 再往后走
[91:51] 或者往后走再往前走
[91:53] 这个总之能回到自己
[91:55] 然后就写一个
[91:56] 然后任何的assert可以和业务逻辑相关的assert
[91:59] 这个assert只要我写出来
[92:02] 它不能证明
[92:03] 或者说就是就这个东西是无法证明的
[92:06] 这个程序不能编译
[92:07] 它
[92:08] 编译百分之百保证这个东西才能证明
[92:10] 然后这我就
[92:12] 这个软件的gap就代码开发的这种
[92:15] 我还需要这种property-based test吗
[92:17] 我不需要
[92:17] 我只要直接把这个property写进去
[92:19] 他帮我证明了就可以了
[92:20] 然后现在从现在来看
[92:22] 可能不需要30年
[92:22] 可能从那个时间点算
[92:24] 10年或者15年就可以
[92:27] 就可以解决这样的问题了
[92:29] 然后在这个过程当中
[92:30] 有一个集大成者叫UML
[92:34] 大家绕不过去的一个名字
[92:35] Unified modeling language
[92:37] 他的想法也很简单
[92:39] 既然啊这个世界这么复杂
[92:42] 在不同的层次上要用不同的语言
[92:45] 你实现的时候是C或者Java
[92:46] 你在设计的时候
[92:48] 当然实现的时候也可以用这个Eiffel
[92:50] 也有一些别的专门用来做设计的领域语言
[92:53] 然后在做需求的时候是DSR
[92:55] 那我们有能不能有一种中间语言
[92:57] 统一整个面向对象的世界
[93:03] 他要做的是一个非常有野心的事情
[93:05] 就是语义的对齐
[93:07] 而这件事情
[93:08] 人类其实是就其实人类天生没有做好的事情
[93:13] 因为人类靠自然语言
[93:14] 然后自然语言是直接连接大脑的latent space的
[93:17] 当我跟你说的时候
[93:18] 说我还是我那个意思说
[93:20] 我今天看到一个美女
[93:22] 在我latent space
[93:23] 你们在每一个人的latent space里面
[93:24] 都构造了一个美女
[93:25] 但她都不一样
[93:26] 这是对不起的
[93:27] 如果你要求我们把那个形象3D建模
[93:31] Blender画出来
[93:32] 这就跟我让这个GPT画一个美女
[93:35] 让那个DeepSeek画一个美女
[93:37] 用Blender画
[93:37] 他们画出来也是不一样的
[93:39] 开玩笑
[93:39] 这个
[93:41] 但好像那个豆包生成的都长一样
[93:47] 这个语言就是很难对齐的
[93:49] 因为语言直连人类大脑的latent space
[93:51] 所以人类发明了数学语言
[93:54] 数学语言是一个非常好的
[93:56] 全人类都能自然对齐的
[93:57] 因为我们知道什么是自然数
[93:59] 我们是从公理一点一点构造出来的
[94:00] 然后那个公理非常小
[94:02] 以至于人类还是基本上可以对齐的
[94:04] 一旦对齐完成
[94:06] 那我们用那个皮亚诺的公理
[94:07] 就把整个计算机世界
[94:08] 全部都全部都建构建起来了
[94:11] 那在计算机上世界里看到同样的东西
[94:15] 它的语义是什么
[94:16] 就是绝对齐的
[94:17] OKUML想要的是一个非常有野心的目标
[94:22] 他想要去对齐那个自然语言世界里面的东西
[94:25] 比如说需求设计这些说不清的东西
[94:29] 当然你是不可能百分之百对齐的
[94:31] 但是他希望把能对齐的部分
[94:33] 和不能对齐的部分给剥离出来
[94:36] 通过定义模型的元素和它们的语义
[94:39] 就有些东西是有语义的
[94:40] 比如说你们可能学过UML
[94:42] 就打比方类图
[94:43] 那类图的语义就是确定的
[94:45] 我有个class叫student
[94:47] student里面有一个field叫叫name
[94:51] 那它就是student name
[94:52] 它可以变成源代码里面的一个东西
[94:54] 它是有语义的
[94:55] 然后比如说sequence diagram
[94:57] 他的这个顺序图里面
[94:58] 他说我要从前到后按照某一个顺序时序来执行
[95:01] 那这个时序的先后就是绝对齐的
[95:04] 你不需要用自然语言的
[95:06] 如果你写就没有UML你写自然语言先后
[95:09] 如果当它发生并发的时候
[95:11] 到底谁先谁后
[95:12] 能不能并发
[95:13] 它就是有歧义的
[95:14] 但是UML 就
[95:19] 消除了这个其在最大程度减少
[95:22] 在没有代码时候的这种语义的漂移
[95:26] 当然我觉得今天我觉得UML已经死了
[95:28] 这个就是因为呵
[95:31] 就所有他的假设都是
[95:33] 我们的自然语言和和形式语言是不能对齐的
[95:37] 这是他的假设
[95:37] 所以他需要一层一层的中间语言
[95:39] 然后今天突然间
[95:40] 这个自然语言可以和可以和任何东西对齐的
[95:43] 反正AI就可以给你问
[95:45] 然后
[95:46] 所以UML也S也是一个历史里面的东西了
[95:49] 但是这个其实它设计时候的这个
[95:52] first principles
[95:53] 其实一直都在啊指导我们对
[95:58] 所以我也特意重温
[96:02] 让这个AI帮我
[96:04] 帮我重读了一下这个
[96:13] 这个就比较恐怖了
[96:14] 这个一个700页的文档
[96:20] 就是我就你看到我的工具还是可以的
[96:22] 就是我特别做了这个可以scale
[96:25] 长的文档
[96:26] 几千页的文档也没有
[96:27] 也没有问题
[96:29] 这个就跟PDF是差不多的
[96:31] 还是有接近的体验的
[96:36] 对正好这个Kimi啊我就不做
[96:40] 这
[96:40] 这可能算一个广告
[96:41] 因为他送了我一个699的
[96:43] 这个这个一个月的套餐
[96:45] 然后说他说看到了我的视频
[96:48] 然后然后送了我一个699的套餐
[96:50] 然后我就直接让这个AI帮我读了
[96:55] 就直接让AI帮我读了这个整个UML spec
[96:58] 就是刚才你看到的就这个dump
[97:02] 然后dump完了以后
[97:03] 我直接让AI帮我备课
[97:05] 直接对着那个
[97:07] 我大概我大概让AI这样就是分subagent
[97:10] 然后分division的每个agent的读50页
[97:13] 结果我把一个非常长的文档
[97:16] 所以我觉得这是一个非常恐怖的
[97:18] 我觉得也是一个蛮蛮可怕的事情
[97:20] 就我把这个文档切成切成这样的
[97:23] 带overlap
[97:24] 因为总会有一点
[97:25] 然后我让他每一个都提取里面的软件工程智慧
[97:28] 把不符合AI时代的这个不必要的东西
[97:32] 就把我的我把我的lecture notes全部给他了
[97:34] 然后把它把它拿出来
[97:36] 然后总结成课件
[97:38] 然后他就去读
[97:39] 然后花了18%的五小时额度
[97:42] 大概折算成这个699套餐的五块三
[97:46] 所以实际上我觉得这是一个
[97:50] 值得我们思考的问题
[97:53] 就是当你拥有了更好的模型
[97:56] 就我相信比如说你现在如果用GPT-6
[98:00] 可能你的价格会差不多
[98:01] 因为它很省
[98:02] token GPT-6 的 token 真的非常省
[98:05] 可以得到差不多的
[98:08] 价格下可能好得多的质量
[98:10] 这就意味着学生群体
[98:14] 就哪怕你们是学生群体
[98:16] 在拥有好的模型和没有好的模型的时候
[98:18] 你们的学习效率
[98:20] 学习成本也会有很大的差距
[98:22] 然后你的学习就成为了一个就如果还好
[98:25] 现在token可能也不算太贵
[98:26] 就如果你有一个100刀的这个Codex
[98:30] 其实我觉得还算是够用了
[98:32] 这个对
[98:33] 大家学习来说
[98:34] 因为因为什么东西烧token
[98:36] 你去维护大项目
[98:37] 烧token大项目
[98:38] 它你就会在大上下文里载入很多东西
[98:41] 然后你100万上下文马上就填满了
[98:42] 然后那就那个很费头亏
[98:44] 然后但是你现在如果你是一个学习流程的话
[98:47] 你其实上下文你不会
[98:48] 你不会像我这样去干干这个
[98:51] 把整个UML spec都放进来
[98:53] 你可以用这个digested version
[98:55] 然后但这个值得我们思考的是
[98:58] 我们以后还学得起
[98:59] 学不起来
[99:00] 这真的是一个就非常现实的现实的问题
[99:03] 因为如果让所有人都评教育平权
[99:05] 那我们没有那么多算力
[99:07] 没有那么多资源
[99:08] 那怎么办
[99:09] we don't know
[99:10] 这个这可能是一个社会性的社会性的问题
[99:14] 但anyway
[99:15] 这是这是UML这他总结的一些UML
[99:19] 但是一句话
[99:23] 796页的spec从头到尾回答一个问题
[99:26] 哪些intention必须定死
[99:28] 哪些留白
[99:29] 它构造了一个形式语言
[99:31] 半形式的语言去告诉你
[99:33] 哪些东西可以确就是可以在语义上确定下来
[99:37] 哪些可以不用他做解决的
[99:40] 就是对齐的问题
[99:42] 人和人之间
[99:43] 你甚至和下一时刻的自己
[99:45] 你不deterministic
[99:46] 你今天想的和明天想的就不一样
[99:48] 所以你跟你自己对不齐
[99:50] 那有趣的东西
[99:53] 你可以自己
[99:53] 大家自可以自己回去看一下这个slides好
[99:58] 那今天下课
