[00:00] 上一节课的时候
[93:09] 通过replay可以知道张三复学前的状态是什么
[93:13] 然后你再把这个状态拿过来
[93:15] 他没有丢
[93:16] 就你就你的逻辑是不能减少的
[93:18] 就是你即即便使用记录日志
[93:21] 记录历史的方式
[93:22] 你比如说复学这个事情之前没有考虑过
[93:26] 我依然是要为他写一个逻辑
[93:28] 但是因为事实是不可篡改的
[93:31] 你世界里面所有东西都是对事实的投影
[93:34] 事实投影出来的
[93:37] 那你好像就有底气了一些
[93:39] 你就不怕错了
[93:41] 你就不会像刚才那样说
[93:43] 我要做一个数据库迁移的时候
[93:44] 我手在抖
[93:45] 因为你总知道你任何一个这个做错了
[93:50] 你都可以很快的回到退回到过去的一个快照
[93:53] 然后啊我把这个逻辑怎么做修复
[93:57] 再来然后你也可以看到
[93:59] 计算机系
[94:00] 计算机学院的问题相对来说也好解
[94:03] 解决一些了
[94:04] 我可以在某一个时刻发生了一个事件
[94:07] 叫这个院系调整
[94:12] 调整
[94:13] 然后你查询一个过去的人的时候
[94:15] 你会查询到他过去的版本
[94:17] 然后并且你知道他经历了这个
[94:20] 就说他经如果你要查询他过去
[94:23] 比如说毕业时候发生的事情
[94:24] 你直接查他毕业时候就可以
[94:26] 然后如果你想要得到一个它比较新的信息
[94:29] 你可以看到比如说投影出和这个人相关的
[94:33] 这个同学这个同学在比如说2007年入学
[94:38] 2011年毕业
[94:39] 然后到这个都是计算机系
[94:43] 然后计算机系在202 14年
[94:47] 改为了计算机学院
[94:48] 你看到我可以裁出一个
[94:50] 就总是你总是可以想要得到一个事实
[94:53] 当前的事实
[94:53] 你可以裁出一个和事实相关的历史
[94:57] 然后把这个相关历史replay得到
[94:59] 我现在要的状态
[95:00] 我可以查询过去
[95:01] 也可以查询
[95:01] 现在这就是一个好的架构设计
[95:03] 然后你祝贺你
[95:04] 你就发明了一个叫event sourcing的一个
[95:08] 非常经典的设计模式
[95:11] 它可以从这想法很简单
[95:13] 从历史事件生成生成状态
[95:16] 而不是直接维护这个CRUD的啊状态
[95:20] 你们可以回去可以在这个agent的带领下
[95:23] 去了解一下
[95:24] 比如说如果用
[95:32] 然后一般switch他有
[95:33] 就你马上会反应过来
[95:35] 是不是会有性能问题
[95:37] 因为要比大量的replay
[95:40] 但这都不是很大的问题
[95:41] 我们总可以比如说用快照缓存
[95:43] 各种各样的这个
[95:55] 对他会有一些优化的优化的技巧
[96:00] 然后这是一个就是吹到
[96:02] 比如说你已经在屎山上了
[96:03] 你把它变成是一个event sourcing的这个设计
[96:07] 就会变得很困难
[96:08] 但是如果你从一开始就做event sourcing的设计
[96:12] 很多事情就问题都不会发生
[96:14] 你就能比较好的解决
[96:17] 然后这样就有了很多这种fancy的软件工程概念
[96:19] 什么CQRS
[96:20] 这是command query
[96:22] Responsibility
[96:23] Segregation
[96:23] 但这和这个event sourcing是独立的
[96:26] event sourcing是独立的
[96:27] 还有这种什么domain driven design这种
[96:31] 然后其实你们都不需要
[96:32] 就你们可以去看去看
[96:34] 但是你只要回到这个最初的first principle
[96:37] 你要设计一个50万行教务系统的时候
[96:40] 我们跳出这个问题
[96:42] 看到教务系统根源的问题在哪里
[96:44] 你就能做一个正确的架构设计
[96:47] 哪怕你没有听说过这些
[96:48] 你也能做一个正确的架构设计
