[00:00] 我们上周讲了一点版本管理
[94:34] 从你小学的时候上电脑课开始
[94:35] 你就做这件事了
[94:36] 所以你对这个模式非常习惯
[94:38] 但一旦你说你要操作一个database schema的时候
[94:41] 你们很多同学还没有学过数据库课
[94:43] 你根本不知道它是什么
[94:44] 在你面对一个未知的东西的时候
[94:46] 你仍然能就你需要强行的说
[94:49] 做一次概念的翻译
[94:51] 我这个东西脑袋里面是这样的概念
[94:53] 我要翻译到数据库里是这样的
[94:55] 那你不如用一个你已经适应了
[94:57] 熟悉了的这个system
[95:00] 用最简单的方式帮你把比如说这个文件的
[95:05] 这个学习资料的管理
[95:07] 学习资料的进入
[95:10] 通知消息的进入
[95:12] 就甚至到我现在到我现在
[95:15] 我自己回邮件的那agent都没有用任何的数据库
[95:19] 我的流程大概是这样的
[95:20] 我的流程是我的那个mail agent会收我的邮箱
[95:25] 然后会把那个email id放到我的一个共享的云盘
[95:30] 同步上
[95:30] 然后那个email id里面会有它的这个
[95:34] agent解析出来的
[95:35] 比如说我回复的草稿
[95:37] 然后这个邮件的分类
[95:39] 是不是垃圾邮件
[95:40] 这种我
[95:41] 然后然后再由下一级的流水线去处理
[95:44] 也就是说我先要明白的是
[95:46] 我的系统里面有哪几级流水线
[95:48] 然后这几级流水线之间他们应该怎么协作
[95:51] 哪些东西通过云盘
[95:54] 然后就比如说那么因为我很喜欢我的云盘
[96:01] 是不是引入云盘要做一些架构的修改
[96:08] 我希望邮件和资料等都和云盘保持同步
[96:17] 这就叫需求的更改
[96:19] 我现在不知道它的架构做的做的好不好
[96:22] 我让agent他帮我看一看
[96:23] 也就是说什么是一个好的软件架构
[96:26] 你当然在当前时候
[96:31] 这个你是有一个需求的
[96:34] 这个现在实现可能是满足这个需求的
[96:36] 但是当你的需求发生变更的时候
[96:39] 你相应的做出的那个变化是摧毁性的
[96:43] 是背上一个技术债还是别的
[96:45] 那就那就不知道了
[96:50] 然后我们来看一下他的这个这个设计
[96:53] 它有一个assistant.db
[97:00] 他要把个人资料放到这里
[97:02] 邮件归档也放到这里
[97:04] 索引草稿仍然在在db
[97:10] 现在看起来还不会引起很大的问题
[97:12] 因为绝大部分都是这样的
[97:15] 数据库
[97:18] 确实应该不会引起特别大的啊大的问题
[97:22] 但是随着这个项目的不断的进展
[97:24] 你就会你就会发现你有一种开发方式是这样
[97:29] 就是你上来就是一个大的
[97:31] 然后好几大步就把需求都实现完了
[97:35] 然后就拖着这个技术债不断地往后迭代
[97:37] 往后加功能加功能
[97:38] 还有一个是
[97:39] 你从最小的就得到一个特别精巧的架构
[97:41] 我举个我为什么要举举举刚才那个例子
[97:44] 就当你发现我用git管理这个学生的提交以后
[97:48] 很多事情都变得非常容易
[97:52] 而且我自己控制起来也会轻松
[97:56] 轻松很多
[97:57] 直到我遇到性能瓶颈之前
[97:58] 我都不去
[97:59] 不想要把它迁移到任何的一种数据库
[98:04] 然后这也意味着
[98:06] 其实你早期的prompt
[98:07] 对整个项目的走向的影响是最大的
[98:11] 你每一次
[98:12] 就你最早的那个我直接把README给他
[98:14] 还说我要做一个MVP
[98:16] 这都会对项目造成很大的影响
[98:18] 那我下一节课就周日就会进入
[98:21] 软件架构和构造的内容好
[98:24] 今天下课
